-4	26
-26	32
-15	32
11	-4
11	5
3	-24
3	-15
-2	-1
6	11
16	13
-2	7
-32	-25
20	-24
-9	4
-5	20
-25	17
-32	11
6	-5
-5	-26
28	-20
17	-20
-32	-32
16	-31
8	-14
-26	27
10	-8
0	-9
-23	-1
2	-3
11	9
-1	-25
-11	-10
26	9
-13	11
29	29
17	9
20	26
-32	-3
-13	-23
-11	-17
7	-1
8	27
25	22
28	-16
22	7
-17	25
-12	21
29	-24
21	-28
-22	10
-25	23
26	4
-29	-20
2	13
26	13
-18	19
28	-5
-23	-14
-14	-2
-6	11
4	31
18	-7
28	-30
25	17
19	31
25	26
11	-28
-32	31
29	17
0	-19
32	-21
-5	-6
3	7
-1	20
20	-32
-4	32
-31	-7
12	28
-16	-16
-4	-14
-16	-7
-18	5
5	-30
-29	-16
-9	17
20	-2
-22	-29
20	16
-2	13
-25	-7
31	25
16	-27
4	17
-19	15
23	30
-10	27
4	26
16	0
10	14
-25	-32
10	32
-13	6
-28	-4
12	23
-16	-30
-28	14
-24	-25
30	10
-4	-10
-16	-12
-3	-30
31	2
27	-1
-20	-10
-29	-28
-26	-11
20	-14
23	-18
-17	10
-15	16
12	0
21	12
16	25
32	-13
-20	-17
-16	-26
16	-12
-29	20
-9	-1
-24	-21
-32	5
29	-9
11	19
12	-16
-6	-22
22	-6
9	-24
-20	31
13	-24
25	-25
-28	2
-17	-22
-27	10
-10	-29
17	19
-18	-3
6	-9
-15	2
5	-20
-31	24
